Department,Designation,Parameters,KRA (S.M.A.R.T GOALS),KPIs (Measuring Metrics & Data),Suggested Weightage,Comments
Development,Assistant Vice President,Project / Process,Enterprise risk management & regulatory compliance,0 regulatory non-compliance issues across all managed banking solutions,15.00,
Development,Assistant Vice President,Project / Process,"Innovation, technology adoption & scalability strategy",Implement strategic technology modernization roadmap across product lines,15.00,
Development,Assistant Vice President,Internal / External Customer,Strategic client partnership & executive sponsorship,Maintain senior leadership relationship score >= 9/10; zero major account loss,10.00,
Development,Assistant Vice President,People,"Organizational leadership, talent strategy & culture",Drive high-performance culture; maintain top talent retention rate > 90%,10.00,
Development,Customer Support Executive,Financial,Retention of client accounts through prompt issue resolution,Zero client churn due to support escalation failures,10.00,
Development,Customer Support Executive,Financial,Adherence to operational support budget,Maintain support operations within allocated ticket budget hours,10.00,
Development,Customer Support Executive,Project / Process,Helpdesk ticketing management & SLA compliance,98%+ ticket resolution adherence within predefined SLA windows,25.00,
Development,Customer Support Executive,Project / Process,First Contact Resolution (FCR) rate,Achieve First Contact Resolution rate >= 75% for support incidents,20.00,
Development,Customer Support Executive,Project / Process,Incident logging & escalation tracking in Zoho Desk,100% incident logging with accurate categorisation and escalation details,15.00,
Development,Customer Support Executive,Internal / External Customer,Customer Satisfaction (CSAT) score,Maintain customer satisfaction rating >= 90% on resolved tickets,15.00,
Development,Customer Support Executive,People,Customer service & product knowledge training,Complete product training modules & 40 hrs skill development annually,5.00,
Development,Deputy Vice President,Project / Process,"Governance, audit & regulatory excellence",100% clean audit reports from central bank and enterprise client audits,15.00,
Development,Deputy Vice President,Financial,P&L leadership & strategic business expansion,Deliver target annual revenue growth (15-20%) and profitability margins,20.00,
Development,Deputy Vice President,Financial,Strategic capital & operational expenditure governance,Optimize OPEX/CAPEX ratio for business unit; zero unbudgeted overrun,10.00,
Development,Deputy Vice President,Project / Process,Enterprise delivery framework & operational resilience,Achieve 99.99% system availability across enterprise banking deployments,20.00,
Development,Deputy Vice President,Project / Process,Strategic roadmap execution & product evolution,Deliver 100% strategic product enhancement roadmap milestones on schedule,15.00,
Development,Deputy Vice President,Internal / External Customer,Key bank executive relationships & strategic growth,Maintain C-level client relationship health score >= 9.2/10,10.00,
Development,Deputy Vice President,People,"Executive coaching, succession planning & organizational building",Build strong middle management leadership pipeline; top talent attrition < 8%,10.00,
Development,DevOps Engineer,Financial,Cloud & infrastructure cost optimization,Optimize cloud resource usage to maintain infrastructure costs within budgeted limit,15.00,
Development,DevOps Engineer,Financial,Minimize downtime penalties & SLA breaches,Maintain 99.9% uptime for core production environments,10.00,
Development,DevOps Engineer,Project / Process,CI/CD Pipeline implementation & automation,100% automated deployment pipelines for all microservices / releases,20.00,
Development,DevOps Engineer,Project / Process,"Infrastructure security, patching & compliance",0 critical security vulnerabilities in OS / cloud setup; monthly patch audit,15.00,
Development,DevOps Engineer,Project / Process,Incident response & Root Cause Analysis (RCA),MTTR < 1 hour for major incidents; submit RCA within 24 hours,15.00,
Development,DevOps Engineer,Internal / External Customer,Deployment & release support to dev/QA teams,95%+ on-time environment provisioning & deployment SLA adherence,10.00,
Development,DevOps Engineer,People,Technical cross-training & documentation,Maintain 100% updated DevOps runbooks; complete 40 hrs specialized cloud/DevOps training,15.00,
Development,Executive,Financial,Operational task execution within estimated cost/effort,Complete 95%+ assigned operational tasks without overtime or budget variance,10.00,
Development,Executive,Financial,Accuracy in documentation to avoid compliance fines,100% accuracy in report generation and process record maintenance,10.00,
Development,Executive,Project / Process,Adherence to daily operational process SLAs,100% on-time execution of daily process workflows and task checklists,25.00,
Development,Executive,Project / Process,Data entry & tracking tool usage (Zoho),100% accurate data entry and real-time task status update in tracking tool,20.00,
Development,Executive,Project / Process,Quality assurance & error reduction,Process error rate < 2% across all assigned operational deliverables,15.00,
Development,Executive,Internal / External Customer,Internal stakeholder support & query turnaround,Respond to internal queries within 24 hours SLA,10.00,
Development,Executive,People,Professional skills development & team coordination,Participate actively in team meetings & complete 40 hrs skill training,10.00,
Development,Lead,Financial,Module delivery on time & within effort budget,100% module delivery adherence; effort variance <= 5% tracked in Zoho,15.00,Sourced from Development / Lead
Development,Lead,Financial,Prevent out-of-fund issues & scope creep,0 production issue leading to financial loss; 100% billable effort tracking,10.00,Sourced from Development / Lead
Development,Lead,Project / Process,Technical design & code review quality,Ensure code review for 100% PRs; defect ratio < 4% in QA phase,20.00,Sourced from Development / Lead
Development,Lead,Project / Process,Agile task assignment & Zoho tracking,100% task allocation and sprint tracking in Zoho; daily standup audit,15.00,Sourced from Development / Lead
Development,Lead,Project / Process,CAB / CCB clearance & release management,90%+ first-time approval rate in CCB/CAB meetings,15.00,Sourced from Development / Lead
Development,Lead,Internal / External Customer,Client escalation response & resolution SLA,Acknowledge escalations within 4 hrs; complete resolution < 24 hrs,12.00,Sourced from Development / Lead
Development,Lead,People,"Team mentorship, utilization & KT",Ensure 100% team utilization; conduct bi-weekly KT; 40 hrs training per member,13.00,Sourced from Development / Lead
Development,Lead - Technical,Financial,Ensure project budget is approved by Respective delivery head,Before Project Approval,2.00,Sourced from Development / Tech Lead
Development,Lead - Technical,Financial,CR & Project Delivery Planned Vs/ Actual,As per milestone Tracked in Zoho | As per effort Tracked in Zoho,4.00,Sourced from Development / Tech Lead; Merged 2 rows with the same KRA; weights 4+5 summed to 9
Development,Lead - Technical,Financial,Ensuring the code review and security compliance,Defect Ratio should not be more than 5%,2.00,Sourced from Development / Tech Lead
Development,Lead - Technical,Financial,changes should not lead to out of fund,0 Out of fund production issue,2.00,Sourced from Development / Tech Lead
Development,Lead - Technical,Financial,Stage wise tracking of Project/CR planned vs actual,Every Month for all projects,2.00,Sourced from Development / Tech Lead
Development,Lead - Technical,Financial,Time to respond to Effort Estimates,Max 5 days,5.00,Sourced from Development / Tech Lead
Development,Lead - Technical,Financial,People Addition to project,Not more than 10% more than planned,5.00,Sourced from Development / Tech Lead
Development,Lead - Technical,Project / Process,Design of Architecture with Delivery Head,Architeture should be part of Functional Specific Document | 100% Adaption,7.00,Sourced from Development / Tech Lead; Merged 2 rows with the same KRA; weights 10+5 summed to 15
Development,Lead - Technical,Project / Process,Use of Tools (Zoho) for project Tracking,100% Adaption with reviewed and audited by lead/Architect | 100% Adaption with reviewed and audited by lead | 100% Adaption,12.00,Sourced from Development / Tech Lead; Merged 3 rows with the same KRA; weights 10+10+5 summed to 25
Development,Lead - Technical,Project / Process,Focus on coding Quality,FTR,5.00,Sourced from Development / Tech Lead
Development,Lead - Technical,Project / Process,Stage wise tracking of CR planned vs actual,Every Month for all projects,3.00,Sourced from Development / Tech Lead
Development,Lead - Technical,Project / Process,Focus on Quality of delivey,100% Timely review,5.00,Sourced from Development / Tech Lead
Development,Lead - Technical,Internal / External Customer,Response to Client queries & Escalations,Max in 24 Hrs all the escalation & 48 hrs for Queries,3.00,Sourced from Development / Tech Lead
Development,Lead - Technical,Internal / External Customer,C-SAT,8 By 10,3.00,Sourced from Development / Tech Lead
Development,Lead - Technical,Internal / External Customer,CAB Review clearance,FTR,3.00,Sourced from Development / Tech Lead
Development,Lead - Technical,Internal / External Customer,CCB (Change control Board) Review,90% Adherence to compliance,2.00,CCB to be complated with in first meeting; Sourced from Development / Tech Lead
Development,Lead - Technical,Internal / External Customer,CCB (Central control Board) Review,90% Adherence to compliance,2.00,CCB to be complated with in first meeting; Sourced from Development / Tech Lead
Development,Lead - Technical,Internal / External Customer,Response to queries & CR,Max in 24 Hrs all the time,5.00,Sourced from Development / Tech Lead
Development,Lead - Technical,Internal / External Customer,Drop in Escalation,Drop in escalation by 80%,2.00,Sourced from Development / Tech Lead
Development,Lead - Technical,People,Interper sonal Skills,"Behavioural Skills, collabration with in team and be good people manager",2.00,Sourced from Development / Tech Lead
Development,Lead - Technical,People,Team attrition for Overall CI,< 15%,5.00,Sourced from Development / Tech Lead
Development,Lead - Technical,People,Training,Ensure 40Hrs of training in year,2.00,Sourced from Development / Tech Lead
Development,Lead - Technical,People,Optimal utilization of resouces,100% Utilization of Resources,5.00,Sourced from Development / Tech Lead
Development,Lead - Technical,People,Timely Interviews,Not more than 10% cancellation / postponement,5.00,Sourced from Development / Tech Lead
